,#,登錄號,館藏地/區域,索書號,特藏類型,特定用途,圖書狀況 / 到期日,註記,附件,預約,圖書館,連結
0,1,20001001713829,嘉義縣圖書館/教育處書庫,873.57 2637,一般書,一般,仍在館內,,,不可預約,嘉義縣圖書館,https://www.cycab.gov.tw/bookDetail.do?id=168172
1,2,20001001751241,嘉義縣圖書館/教育處書庫,C 873.57 2637,班級借閱專書,一般,已被外借 / 2011-05-08,,,/ 0人預約,嘉義縣圖書館,https://www.cycab.gov.tw/bookDetail.do?id=168172
2,3,20001001852452,嘉義縣圖書館/教育處書庫,873.57 2637,一般書,一般,已被外借 / 2021-07-21,,,/ 0人預約,嘉義縣圖書館,https://www.cycab.gov.tw/bookDetail.do?id=168172
3,4,20001003390584,嘉義縣圖書館/教育處書庫,873.57 8367,一般書,一般,已被外借 / 2021-07-21,,,/ 0人預約,嘉義縣圖書館,https://www.cycab.gov.tw/bookDetail.do?id=168172
4,5,20002000411985,大林鎮立圖書館/大林書庫,873.57 857 c.1,一般書,一般,仍在館內,,,不可預約,嘉義縣圖書館,https://www.cycab.gov.tw/bookDetail.do?id=168172
5,6,20002000429334,大林鎮立圖書館/大林書庫,873.57 857 c.2,一般書,一般,仍在館內,,,不可預約,嘉義縣圖書館,https://www.cycab.gov.tw/bookDetail.do?id=168172
6,7,20002000430464,大林鎮立圖書館/大林書庫,873.57 857,一般書,一般,仍在館內,,,不可預約,嘉義縣圖書館,https://www.cycab.gov.tw/bookDetail.do?id=168172
7,8,20003000608000,中埔鄉立圖書館/中埔書庫,873.57 8367 v.30,一般書,一般,仍在館內,,,不可預約,嘉義縣圖書館,https://www.cycab.gov.tw/bookDetail.do?id=168172
8,9,20004000073864,太保市立圖書館/太保書庫,873.57 8666 v.30 c.2 2000,一般書,一般,仍在館內,,,不可預約,嘉義縣圖書館,https://www.cycab.gov.tw/bookDetail.do?id=168172
9,10,20004000196426,太保市立圖書館/太保書庫,873.57 8666 v.30 c.3 2000,一般書,一般,仍在館內,錢淑貞贈,,不可預約,嘉義縣圖書館,https://www.cycab.gov.tw/bookDetail.do?id=168172
