,#,條碼號,館藏地/室,索書號,資料類型,目前狀態 / 到期日,附件,備註,預約,圖書館,連結
0,1,21207001557251,苗栗縣立圖書館/縣立圖書館青少年專區,BOOK 873.57 857 89(櫃號70),一般書/一般,仍在館內,,204607-108,不可預約,苗栗縣公共圖書館圖書資訊查詢系統,https://webpac.miaoli.gov.tw/bookDetail.do?id=668888&resid=188828271&nowid=1
1,2,21586000598097,苗栗市立圖書館/苗栗市青少年區,BOOK 873.57 857,一般書/一般,仍在館內,,青少-1,不可預約,苗栗縣公共圖書館圖書資訊查詢系統,https://webpac.miaoli.gov.tw/bookDetail.do?id=668888&resid=188828271&nowid=1
2,1,21207000727533,苗栗縣立圖書館/縣立圖書館兒童閱覽區,J 191.9 8657 v.1 98,兒童書/一般,已被外借 / 2012-08-09,,739556,/ 1人預約,苗栗縣公共圖書館圖書資訊查詢系統,https://webpac.miaoli.gov.tw/bookDetail.do?id=334608&resid=188828271&nowid=2
3,2,CRRC20001540,苗栗縣立圖書館/苗栗分區資源中心多元文化區,C 823.91 R884 2015,苗栗分區資源中心專書/一般,仍在館內,,C01540,不可預約,苗栗縣公共圖書館圖書資訊查詢系統,https://webpac.miaoli.gov.tw/bookDetail.do?id=334608&resid=188828271&nowid=2
4,3,21207001460902,苗栗縣立圖書館/縣立圖書館視聽資料區,VB 987.83 8575 106,影音光碟/一般,仍在館內,,201237-107,不可預約,苗栗縣公共圖書館圖書資訊查詢系統,https://webpac.miaoli.gov.tw/bookDetail.do?id=334608&resid=188828271&nowid=2
5,4,21207001460910,苗栗縣立圖書館/縣立圖書館視聽資料區,VB 987.83 8575 106,影音光碟/一般,仍在館內,,201238-107,不可預約,苗栗縣公共圖書館圖書資訊查詢系統,https://webpac.miaoli.gov.tw/bookDetail.do?id=334608&resid=188828271&nowid=2
6,5,141819,苗栗縣立圖書館/縣立圖書館兒童閱覽區,J 873.57 857,兒童書/一般,仍在館內,,0115886,不可預約,苗栗縣公共圖書館圖書資訊查詢系統,https://webpac.miaoli.gov.tw/bookDetail.do?id=334608&resid=188828271&nowid=2
7,6,21207000057535,苗栗縣立圖書館/縣立圖書館兒童閱覽區,J 873.57 857,兒童書/一般,仍在館內,,726905,不可預約,苗栗縣公共圖書館圖書資訊查詢系統,https://webpac.miaoli.gov.tw/bookDetail.do?id=334608&resid=188828271&nowid=2
8,7,21576000333306,卓蘭鎮立圖書館/卓蘭書庫,BOOK 873.57 857 89,一般書/一般,仍在館內,,028932,不可預約,苗栗縣公共圖書館圖書資訊查詢系統,https://webpac.miaoli.gov.tw/bookDetail.do?id=334608&resid=188828271&nowid=2
9,8,21578001833862,泰安鄉立圖書館/泰安書庫,BOOK 191.9 8557 2009,一般書/一般,仍在館內,,,不可預約,苗栗縣公共圖書館圖書資訊查詢系統,https://webpac.miaoli.gov.tw/bookDetail.do?id=334608&resid=188828271&nowid=2
10,9,21580000116240,通霄鎮立圖書館/通霄鎮立圖書館二樓,BOOK 873.57 857 (1) 民89,一般書/一般,仍在館內,,032741,不可預約,苗栗縣公共圖書館圖書資訊查詢系統,https://webpac.miaoli.gov.tw/bookDetail.do?id=334608&resid=188828271&nowid=2
11,10,0000032348,通霄鎮立圖書館/通霄鎮立圖書館二樓,BOOK 873.57 857 (1),一般書/一般,仍在館內,,023114,不可預約,苗栗縣公共圖書館圖書資訊查詢系統,https://webpac.miaoli.gov.tw/bookDetail.do?id=334608&resid=188828271&nowid=2
