0,圖書館,館藏地,索書號,館藏狀態
1,國立臺灣師範大學,總館5F書架,330.18 081,不可外借
2,國立臺灣師範大學,總館5F書架,330.18 081,可外借
3,國立臺灣師範大學,公館分館,330.18 081 2015,不可外借
4,中央研究院,人社中心,550.187 4025,可外借
5,中央研究院,民族所圖書館,550.187 4025 2014,不可外借
6,中央研究院,近史所郭廷以圖書館,330.1891 081,可外借
7,國立陽明大學,陽明大學書庫區,550.187 4025,可外借
8,國立陽明大學,陽明大學書庫區,550.187 4025 c.2,可外借
9,國立中央大學,總圖4F中文書庫,550.187 4024 103,不可外借
10,國立中央大學,總圖4F中文書庫,550.187 4024 103,不可外借
11,國立中央大學,國科會長期計畫用書,550.187 4024 103,不可外借
12,中原大學,總圖5樓書庫,550.187 4025,不可外借
13,中原大學,總圖5樓書庫,550.187 4025 [104] c.2,不可外借
14,中國文化大學,總館5F中文圖書區,550.187 4025,可外借
15,中國文化大學,總館5F中文圖書區,550.187 4025 c.2,可外借
16,中國文化大學,總館5F中文圖書區,550.187 4025 c.3,可外借
17,輔仁大學,濟時樓圖書館圖書區,550.187 4025,可外借
18,輔仁大學,濟時樓圖書館圖書區,550.187 4025 c.2,不可外借
19,輔仁大學,濟時樓圖書館圖書區,550.187 4025 c.3,不可外借
20,輔仁大學,濟時樓圖書館圖書區,550.187 4025 c.4,可外借
21,輔仁大學,濟時樓圖書館圖書區,550.187 4025 c.5,可外借
22,世新大學,中文圖書區,550.187 8757,可借
23,國立臺北大學,三峽圖書館3F中文圖書區,550.187 4025 107,可外借
24,國立臺北大學,三峽圖書館3F中文圖書區,550.187 4025,可外借
25,國立臺北大學,三峽圖書館3F中文圖書區,550.187 4025 c.2,可外借
26,國立臺北大學,三峽圖書館3F中文圖書區,550.187 4025 c.3,不可外借
